autoDriveSum,autoTurn,autoTimer
0.444293,0,7.8211
0.444293,0,7.84248
0.444293,0,7.86122
0.444293,0,7.88073
0.444293,0,7.9015
0.444293,0,7.9208
0.444293,0,7.94121
0.444293,0,7.96093
0.444293,0,7.9815
0.444293,0,8.00103
0.444293,0,8.02098
0.444293,0,8.04077
0.444293,0,8.06113
0.444293,0,8.08133
0.444293,0,8.10119
0.444293,0,8.12124
0.444293,0,8.14057
0.444293,0.0374872,8.16098
0.444293,0.0695823,8.18149
0.444293,0.0888394,8.20083
0.444293,0.127354,8.22117
0.444293,0.127354,8.24118
0.444293,0.133773,8.2614
0.444293,0.262153,8.28078
0.444293,0.377696,8.30112
0.444293,0.396953,8.32133
0.444293,0.396953,8.34076
0.444293,0.396953,8.36077
0.444293,0.249315,8.38114
0.444293,0.249315,8.40137
0.444293,0,8.4208
0.444293,0,8.44061
0.444293,0,8.46173
0.444293,0,8.48145
0.444293,0,8.50141
0.444293,0,8.52121
0.444293,0,8.54136
0.444293,0,8.56147
0.444293,0,8.58105
0.444293,0,8.6011
0.444293,0,8.62038
0.444293,0,8.64064
0.444293,0,8.66047
0.444293,0,8.68141
0.444293,0,8.70106
0.444293,0,8.72107
0.444293,0,8.74101
0.444293,0,8.76108
0.444293,0,8.78078
0.444293,0,8.80101
0.444293,0,8.82087
0.444293,0,8.84084
0.444293,0,8.86112
0.444293,0,8.88091
0.444293,0,8.90064
0.444293,0,8.92069
0.444293,0,8.94117
0.444293,0,8.96061
0.444293,0,8.9811
0.444293,0,9.00111
0.444293,0,9.02144
0.444293,0,9.04147
0.444293,0,9.06209
0.444293,0,9.08213
0.444293,0,9.10101
0.444293,0,9.12126
0.444293,0,9.14151
0.444293,0,9.16086
0.444293,0,9.18128
0.444293,0,9.20067
0.444293,0,9.22133
0.444293,0,9.24085
0.444293,0,9.26085
0.444293,-0.144956,9.28078
0.444293,-0.23412,9.30049
0.444293,-0.23412,9.32151
0.444293,-0.265965,9.34181
0.444293,-0.278702,9.36056
0.444293,-0.329654,9.38135
0.444293,-0.342391,9.40156
0.444293,-0.342391,9.42153
0.444293,-0.342391,9.44309
0.444293,-0.342391,9.46114
0.444293,-0.342391,9.48124
0.444293,-0.342391,9.50033
0.444293,-0.355129,9.52132
0.444293,-0.367867,9.54123
0.444293,-0.367867,9.56151
0.444293,-0.374236,9.58111
0.444293,-0.374236,9.60075
0.444293,-0.40608,9.62098
0.444293,-0.418818,9.64055
0.444293,-0.425187,9.66088
